Date,"""Date+Time""",PM2.5 Conc__(ug/m3),Wind'Speed (miles/h),Wind Direction (Degrees),Date,% RH,error,technician
5/13/2018,17:00,5,7,68,5/13/2018,,,
5/13/2018,18:00,6,6,90,5/13/2018,,,
5/13/2018,19:00,10,4,45,5/13/2018,,,
5/13/2018,20:00,10,3,68,5/13/2018,,,
5/13/2018,21:00,10,1,113,5/13/2018,,,
5/13/2018,22:00,7,0,113,5/13/2018,,,
5/13/2018,23:00,5,0,,5/13/2018,,,
5/14/2018,0:00,6,0,113,5/14/2018,,,
5/14/2018,1:00,4,1,225,5/14/2018,,,
5/14/2018,2:00,2,1,203,5/14/2018,,,
5/14/2018,3:00,7,1,225,5/14/2018,,,
5/14/2018,4:00,5,1,270,5/14/2018,,,
5/14/2018,5:00,filter error,1,225,5/14/2018,,,
5/14/2018,6:00,5,1,225,5/14/2018,,,
5/14/2018,7:00,1,2,270,5/14/2018,,,
5/14/2018,8:00,2,3,270,5/14/2018,,,
5/14/2018,9:00,7,4,315,5/14/2018,,,
5/14/2018,10:00,6,5,68,5/14/2018,,,
5/14/2018,11:00,10,6,68,5/14/2018,,,
5/14/2018,12:00,12,6,68,5/14/2018,,,
5/14/2018,13:00,8,7,68,5/14/2018,,,
5/14/2018,14:00,10,8,68,5/14/2018,,low,
5/14/2018,15:00,8,8,68,5/14/2018,,high,
5/14/2018,16:00,10,7,68,5/14/2018,,,
5/14/2018,17:00,8,7,68,5/14/2018,,,
5/14/2018,18:00,11,6,68,5/14/2018,,,
5/14/2018,19:00,9,6,68,5/14/2018,,,
5/14/2018,20:00,7,2,45,5/14/2018,,,
5/14/2018,21:00,7,0,45,5/14/2018,,,
5/14/2018,22:00,10,0,45,5/14/2018,,,
5/14/2018,23:00,10,1,45,5/14/2018,,,
5/15/2018,0:00,5,0,45,5/15/2018,,,
5/15/2018,1:00,5,0,0,5/15/2018,,,
5/15/2018,2:00,7,0,68,5/15/2018,,,
5/15/2018,3:00,6,1,225,5/15/2018,,,
5/15/2018,4:00,6,1,225,5/15/2018,,,
5/15/2018,5:00,6,2,248,5/15/2018,,,
5/15/2018,6:00,5,1,270,5/15/2018,,,
5/15/2018,7:00,8,1,270,5/15/2018,,,
5/15/2018,8:00,9,1,270,5/15/2018,,,
5/15/2018,9:00,13,2,248,5/15/2018,,,
5/15/2018,10:00,9,4,68,5/15/2018,,,
5/15/2018,11:00,7,6,68,5/15/2018,,,
5/15/2018,12:00,9,6,68,5/15/2018,,,
5/15/2018,13:00,8,7,90,5/15/2018,,,
5/15/2018,14:00,8,6,68,5/15/2018,,,
5/15/2018,15:00,7,6,68,5/15/2018,,,
5/15/2018,16:00,7,6,68,5/15/2018,,,
5/15/2018,17:00,8,6,68,5/15/2018,,,
5/15/2018,18:00,9,6,68,5/15/2018,,,
5/15/2018,19:00,10,6,68,5/15/2018,,,
5/15/2018,20:00,6,3,68,5/15/2018,,,
5/15/2018,21:00,9,1,45,5/15/2018,,,
5/15/2018,22:00,7,0,270,5/15/2018,,,
5/15/2018,23:00,9,0,248,5/15/2018,,,
5/16/2018,0:00,7,1,225,5/16/2018,,,
5/16/2018,1:00,3,1,225,5/16/2018,,,
5/16/2018,2:00,6,1,225,5/16/2018,,,
5/16/2018,3:00,4,1,225,5/16/2018,,,
5/16/2018,4:00,4,0,225,5/16/2018,,,
5/16/2018,5:00,6,1,248,5/16/2018,,,
5/16/2018,6:00,4,2,270,5/16/2018,,,
5/16/2018,7:00,4,0,293,5/16/2018,,,
5/16/2018,8:00,5,1,248,5/16/2018,,,
5/16/2018,9:00,6,2,315,5/16/2018,,,
5/16/2018,10:00,8,5,68,5/16/2018,,,
5/16/2018,11:00,6,6,68,5/16/2018,,,
5/16/2018,12:00,7,8,68,5/16/2018,,low,
5/16/2018,13:00,5,7,68,5/16/2018,,,
5/16/2018,14:00,9,6,68,5/16/2018,,,
5/16/2018,15:00,6,7,68,5/16/2018,,,
5/16/2018,16:00,10,6,68,5/16/2018,,,
5/16/2018,17:00,7,7,68,5/16/2018,,,
5/16/2018,18:00,11,6,68,5/16/2018,,,
5/16/2018,19:00,8,5,68,5/16/2018,,,
5/16/2018,20:00,6,3,45,5/16/2018,,,
5/16/2018,21:00,7,0,90,5/16/2018,,,
5/16/2018,22:00,7,0,90,5/16/2018,,,
5/16/2018,23:00,6,0,225,5/16/2018,,,
5/17/2018,0:00,5,0,203,5/17/2018,,,
5/17/2018,1:00,5,0,203,5/17/2018,,,
5/17/2018,2:00,3,0,203,5/17/2018,,,
5/17/2018,3:00,3,0,203,5/17/2018,,,
5/17/2018,4:00,3,0,225,5/17/2018,,,
5/17/2018,5:00,2,1,225,5/17/2018,,,
5/17/2018,6:00,2,1,203,5/17/2018,,,
5/17/2018,7:00,2,2,270,5/17/2018,,,
5/17/2018,8:00,5,2,270,5/17/2018,,,
5/17/2018,9:00,5,2,270,5/17/2018,,,
5/17/2018,11:00,8,5,68,5/17/2018,,,
5/17/2018,12:00,7,6,90,5/17/2018,,,
5/17/2018,13:00,9,6,68,5/17/2018,,,
5/17/2018,14:00,8,7,90,5/17/2018,,,
5/17/2018,16:00,6,7,68,5/17/2018,,,
5/17/2018,17:00,6,6,23,5/17/2018,,,
5/17/2018,18:00,7,6,68,5/17/2018,,,
5/17/2018,19:00,10,5,135,5/17/2018,,,
5/17/2018,20:00,10,4,113,5/17/2018,,,
5/17/2018,21:00,11,4,68,5/17/2018,,,
5/17/2018,23:00,7,0,113,5/17/2018,,,
5/18/2018,0:00,10,2,68,5/18/2018,,,
5/18/2018,1:00,13,2,113,5/18/2018,,,
5/18/2018,2:00,11,0,45,5/18/2018,,,
5/18/2018,3:00,10,0,68,5/18/2018,,,
5/18/2018,4:00,9,1,113,5/18/2018,,,
5/18/2018,5:00,8,1,68,5/18/2018,,,
5/18/2018,6:00,5,2,68,5/18/2018,,,
5/18/2018,7:00,6,2,68,5/18/2018,,,
5/18/2018,8:00,8,1,90,5/18/2018,,,
5/18/2018,9:00,12,2,68,5/18/2018,,,
5/18/2018,10:00,10,2,90,5/18/2018,,,
5/18/2018,11:00,7,3,180,5/18/2018,,,
5/18/2018,12:00,7,5,135,5/18/2018,,,
5/18/2018,13:00,9,6,68,5/18/2018,,,
5/18/2018,14:00,10,7,68,5/18/2018,,,
5/18/2018,15:00,12,7,135,5/18/2018,,,
5/18/2018,16:00,11,7,68,5/18/2018,,,
5/18/2018,17:00,9,5,68,5/18/2018,,,
5/18/2018,18:00,11,3,68,5/18/2018,,,
5/18/2018,19:00,12,5,68,5/18/2018,,,
5/18/2018,20:00,10,3,45,5/18/2018,,,
